LocalStack supervisor: starting
LocalStack supervisor: localstack process (PID 16) starting
2024-11-18T17:54:58.506 DEBUG --- [  MainThread] l.utils.docker_utils       : Using SdkDockerClient. LEGACY_DOCKER_CLIENT: False, SDK installed: True
2024-11-18T17:54:58.639 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.register_state_resource = <function register_state_resource at 0xffffa1642160>)
2024-11-18T17:54:58.639 DEBUG --- [  MainThread] plux.runtime.manager       : plugin localstack.hooks.on_infra_start:register_state_resource is disabled, reason: Load condition for plugin was false
2024-11-18T17:54:58.639 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.register_state_save_strategy = <function register_state_save_strategy at 0xffffa1642520>)
2024-11-18T17:54:58.639 DEBUG --- [  MainThread] plux.runtime.manager       : plugin localstack.hooks.on_infra_start:register_state_save_strategy is disabled, reason: Load condition for plugin was false
2024-11-18T17:54:58.639 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.setup_pro_infra = <function setup_pro_infra at 0xffffa16362a0>)
2024-11-18T17:54:58.639 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_infra_start:setup_pro_infra
2024-11-18T17:54:58.705 DEBUG --- [  MainThread] localstack.dns.server      : Determined fallback dns: 127.0.0.11
2024-11-18T17:54:58.705 DEBUG --- [  MainThread] localstack.dns.server      : Starting DNS servers (tcp/udp port 53 on 0.0.0.0)...
2024-11-18T17:54:58.705 DEBUG --- [  MainThread] localstack.dns.server      : Adding host .*localhost.localstack.cloud pointing to LocalStack
2024-11-18T17:54:58.705 DEBUG --- [  MainThread] localstack.dns.server      : Adding host .*localhost.localstack.cloud with record DynamicRecord(record_type=<RecordType.A: 1>, record_id=None)
2024-11-18T17:54:58.705 DEBUG --- [  MainThread] localstack.dns.server      : Adding host .*localhost.localstack.cloud with record DynamicRecord(record_type=<RecordType.AAAA: 2>, record_id=None)
2024-11-18T17:54:58.706 DEBUG --- [-functhread1] localstack.dns.server      : DNS Server started
2024-11-18T17:54:58.707 DEBUG --- [  MainThread] localstack.dns.server      : DNS server startup finished.
2024-11-18T17:54:58.708  INFO --- [  MainThread] l.p.c.b.licensingv2        : Successfully activated cached license 4a19be19-b8bd-4eec-bd6a-af961bcb57ce:trial from /var/lib/localstack/cache/license.json 🔑✅
2024-11-18T17:54:58.739 DEBUG --- [  MainThread] localstack.runtime.init    : Init scripts discovered: {BOOT: [], START: [], READY: [], SHUTDOWN: []}
2024-11-18T17:54:58.739 DEBUG --- [  MainThread] localstack.plugins         : Checking for the usage of deprecated community features and configs...
2024-11-18T17:54:58.739  WARN --- [  MainThread] localstack.deprecations    : EDGE_PORT is deprecated (since 2.0.0) and will be removed in upcoming releases of LocalStack! This configuration will be migrated to GATEWAY_LISTEN
2024-11-18T17:54:58.743 DEBUG --- [  MainThread] localstack.dns.server      : Overwriting container DNS server to point to localhost
2024-11-18T17:54:58.751 DEBUG --- [  MainThread] l.pro.core.plugins         : setting up transparent endpoint injection
2024-11-18T17:54:58.751 DEBUG --- [  MainThread] localstack.dns.server      : Adding host .*.amazonaws.com pointing to LocalStack
2024-11-18T17:54:58.751 DEBUG --- [  MainThread] localstack.dns.server      : Adding host .*.amazonaws.com with record DynamicRecord(record_type=<RecordType.A: 1>, record_id=None)
2024-11-18T17:54:58.751 DEBUG --- [  MainThread] localstack.dns.server      : Adding host .*.amazonaws.com with record DynamicRecord(record_type=<RecordType.AAAA: 2>, record_id=None)
2024-11-18T17:54:58.751 DEBUG --- [  MainThread] localstack.dns.server      : Adding host .*aws.amazon.com pointing to LocalStack
2024-11-18T17:54:58.751 DEBUG --- [  MainThread] localstack.dns.server      : Adding host .*aws.amazon.com with record DynamicRecord(record_type=<RecordType.A: 1>, record_id=None)
2024-11-18T17:54:58.751 DEBUG --- [  MainThread] localstack.dns.server      : Adding host .*aws.amazon.com with record DynamicRecord(record_type=<RecordType.AAAA: 2>, record_id=None)
2024-11-18T17:54:58.751 DEBUG --- [  MainThread] localstack.dns.server      : Adding host .*cloudfront.net pointing to LocalStack
2024-11-18T17:54:58.751 DEBUG --- [  MainThread] localstack.dns.server      : Adding host .*cloudfront.net with record DynamicRecord(record_type=<RecordType.A: 1>, record_id=None)
2024-11-18T17:54:58.751 DEBUG --- [  MainThread] localstack.dns.server      : Adding host .*cloudfront.net with record DynamicRecord(record_type=<RecordType.AAAA: 2>, record_id=None)
2024-11-18T17:54:58.751 DEBUG --- [  MainThread] localstack.dns.server      : Adding skip pattern ^aws\.amazon\.com
2024-11-18T17:54:58.751 DEBUG --- [  MainThread] localstack.dns.server      : Adding skip pattern ^localstack-pods-.*\.s3(\.[^\.]+)?\.amazonaws\.com
2024-11-18T17:54:58.751 DEBUG --- [  MainThread] localstack.dns.server      : Adding skip pattern ^localstack-assets\.s3(\.[^\.]+)?\.amazonaws\.com
2024-11-18T17:54:58.751 DEBUG --- [  MainThread] localstack.dns.server      : Adding skip pattern ^github-production-release-.*\.s3(\.[^\.]+)?\.amazonaws\.com
2024-11-18T17:54:58.751 DEBUG --- [  MainThread] localstack.dns.server      : Adding skip pattern ^aws-glue-etl-artifacts\.s3(\.[^\.]+)?\.amazonaws\.com
2024-11-18T17:54:58.751 DEBUG --- [  MainThread] localstack.dns.server      : Adding skip pattern ^prod-registry-k8s-io-.*\.s3\.(dualstack\.)?.*\.amazonaws\.com
2024-11-18T17:54:58.751 DEBUG --- [  MainThread] localstack.dns.server      : Adding skip pattern ^(?:prod|staging)sharedcertsstack-.*\.s3(\.[^\.]+)?\.amazonaws\.com
2024-11-18T17:54:58.751 DEBUG --- [  MainThread] localstack.dns.server      : Adding skip pattern .*(forums|console|docs|clientvpn|sso|boto3|(signin(\-reg)?))\.([^\.]+\.)?(aws\.amazon|amazonaws)\.com
2024-11-18T17:54:58.751 DEBUG --- [  MainThread] localstack.dns.server      : Adding skip pattern .*captcha-prod\.s3(\.[^\.]+)?\.amazonaws\.com
2024-11-18T17:54:58.751 DEBUG --- [  MainThread] localstack.dns.server      : Adding skip pattern ^redshift-maven-repository\.s3(\.[^\.]+)?\.amazonaws\.com
2024-11-18T17:54:59.249 DEBUG --- [  MainThread] l.p.c.services.iam.router  : Adding IAM policy generation routes...
2024-11-18T17:54:59.677  INFO --- [  MainThread] l.p.c.extensions.platform  : loaded 1 extensions
2024-11-18T17:54:59.677 DEBUG --- [  MainThread] l.p.c.extensions.platform  : calling extensions on_platform_start
2024-11-18T17:54:59.678 DEBUG --- [  MainThread] localstack.utils.run       : Executing command: ['pip', 'install', 'sqlglot[rs]==25.17.0']
2024-11-18T17:55:01.098 DEBUG --- [  MainThread] l.p.c.extensions.platform  : calling extensions update_gateway_routes
2024-11-18T17:55:01.239 DEBUG --- [  MainThread] l.p.c.extensions.platform  : calling extensions update_request_handlers
2024-11-18T17:55:01.240 DEBUG --- [  MainThread] l.p.c.extensions.platform  : calling extensions update_response_handlers
2024-11-18T17:55:01.240 DEBUG --- [  MainThread] l.p.c.extensions.platform  : calling extensions update_exception_handlers
2024-11-18T17:55:01.245 DEBUG --- [  MainThread] l.p.c.b.tls_certificate    : Using cached TLS certificate (less than 24 hrs since last update).
2024-11-18T17:55:01.302 DEBUG --- [et.reactor-0] l.a.p.service_router       : building service catalog index cache file /var/lib/localstack/cache/service-catalog-3_8_2_dev122-1_35_63.pickle
2024-11-18T17:55:02.532 DEBUG --- [ady_monitor)] l.p.c.extensions.platform  : calling extensions on_platform_ready
Ready.
